date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:47	364/364	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Jun%202018%2006:31:47%20GMT	https://countpatients.wordpress.com/robots.txt		(from )
12:01:48	28666/28666	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jun%202018%2006:31:47%20GMT	https://countpatients.wordpress.com/	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/index.html	(from )
12:01:48	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%22575f1ca1-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	C:/Users/user1/Desktop/Count_Patienta/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://countpatients.wordpress.com/)
12:01:49	6378/6378	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2016%20Jun%202018%2003:00:17%20GMT	https://countpatients.wordpress.com/feed/	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/feed/index.html	(from https://countpatients.wordpress.com/)
12:01:49	865/865	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22657b25cf76c1ae8e1552bff30a40c276%22	https://countpatients.wordpress.com/comments/feed/	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/comments/feed/index.html	(from https://countpatients.wordpress.com/)
12:01:49	12003/12003	---MCZ	200	added ('OK')	text/css	etag:W/%225a6b5b74-2ee3%22	https://s0.wp.com/_static/??/wp-content/mu-plugins/actionbar/actionbar.css,/wp-content/themes/h4/global.css?m=1516985148j&cssminify=yes	C:/Users/user1/Desktop/Count_Patienta/s0.wp.com/_static/index77c1.html	(from https://countpatients.wordpress.com/)
12:01:49	890/890	---MCZ	200	added ('OK')	text/xml	date:Sat,%2016%20Jun%202018%2006:31:49%20GMT	https://countpatients.wordpress.com/xmlrpc.php?rsd	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/xmlrpc0db0.php	(from https://countpatients.wordpress.com/)
12:01:49	10046/10046	---M--	200	added ('OK')	image/png	etag:%225645646f-273e%22	https://s2.wp.com/i/webclip.png	C:/Users/user1/Desktop/Count_Patienta/s2.wp.com/i/webclip.png	(from https://countpatients.wordpress.com/)
12:01:50	1396/1396	---MCZ	200	added ('OK')	application/xml	date:Sat,%2016%20Jun%202018%2006:31:49%20GMT	https://countpatients.wordpress.com/osd.xml	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/osd.xml	(from https://countpatients.wordpress.com/)
12:01:50	8223/8223	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2022:04:50%20GMT	https://countpatients.files.wordpress.com/2018/06/image.png	C:/Users/user1/Desktop/Count_Patienta/countpatients.files.wordpress.com/2018/06/image.png	(from https://countpatients.wordpress.com/)
12:01:51	31912/31912	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jun%202018%2006:31:50%20GMT	https://countpatients.wordpress.com/2018/06/15/the-journey-begins/	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/2018/06/15/the-journey-begins/index.html	(from https://countpatients.wordpress.com/)
12:01:51	17367/17367	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jun%202018%2022:20:41%20GMT	https://countpatients.files.wordpress.com/2018/06/86516355.jpg?w=340&h=221&crop=1	C:/Users/user1/Desktop/Count_Patienta/countpatients.files.wordpress.com/2018/06/8651635556e7.jpg	(from https://countpatients.wordpress.com/)
12:01:51	29262/29262	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jun%202018%2006:31:51%20GMT	https://countpatients.wordpress.com/author/meharparmar12/	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/author/meharparmar12/index.html	(from https://countpatients.wordpress.com/)
12:01:53	20650/20650	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2255faca7a-50aa%22	http://0.gravatar.com/js/gprofiles.js?ver=201824y	C:/Users/user1/Desktop/Count_Patienta/0.gravatar.com/js/gprofilesf88c.js	(from https://countpatients.wordpress.com/)
12:01:53	58222/58222	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jun%202018%2022:28:37%20GMT	https://countpatients.files.wordpress.com/2018/06/17328412-a-concept-related-to-many-areas-of-timing-in-the-medical-field-e1529101716916.jpg?w=300&h=300	C:/Users/user1/Desktop/Count_Patienta/countpatients.files.wordpress.com/2018/06/17328412-a-concept-related-to-many-areas-of-timing-in-the-medical-field-e1529101716916ee67.jpg	(from https://countpatients.wordpress.com/)
12:01:53	582/582	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2256456473-2f0%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1380573781h	C:/Users/user1/Desktop/Count_Patienta/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoc3b6.js	(from https://countpatients.wordpress.com/)
12:01:53	22890/22890	---MCZ	200	added ('OK')	text/css	etag:W/%225ae111c8-6483%22	https://s0.wp.com/wp-content/mu-plugins/carousel/jetpack-carousel.css?m=1524699534h&cssminify=yes	C:/Users/user1/Desktop/Count_Patienta/s0.wp.com/wp-content/mu-plugins/carousel/jetpack-carousel1e46.css	(from https://countpatients.wordpress.com/)
12:01:54	449/449	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2016%20Jun%202018%2006:31:53%20GMT	https://countpatients.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	C:/Users/user1/Desktop/Count_Patienta/countpatients.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://countpatients.wordpress.com/)
12:01:55	43761/43761	---M-Z	200	added ('OK')	application/octet-stream	etag:%220a4e64d66fd90710fbf64328619f98ae%22	https://s.skimresources.com/js/725X1342.skimlinks.js	C:/Users/user1/Desktop/Count_Patienta/s.skimresources.com/js/725X1342.skimlinks.js	(from https://countpatients.wordpress.com/)
12:01:55	12698/12698	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2259a78d75-47a3%22	http://stats.wp.com/w.js?56	C:/Users/user1/Desktop/Count_Patienta/stats.wp.com/w9f61.js	(from https://countpatients.wordpress.com/)
12:01:55	43/43	---M--	200	added ('OK')	image/gif	date:Sat,%2016%20Jun%202018%2006:31:55%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/Users/user1/Desktop/Count_Patienta/pixel.wp.com/b0b80.gif	(from https://countpatients.wordpress.com/)
